> from tabulate import tabulate
> print tabulate(sp500, headers='keys', tablefmt='psql', showindex=False)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)


+---------+---------+---------+---------+------------------+-------------+----------------+
|    Open |    High |     Low |   Close |           Volume |   Dividends |   Stock Splits |
|   22.74 |   22.74 |   22.74 |   22.74 |      0           |           0 |              0 |
|   22.52 |   22.52 |   22.52 |   22.52 |      0           |           0 |              0 |
|   22.48 |   22.48 |   22.48 |   22.48 |      0           |           0 |              0 |
|   22.53 |   22.53 |   22.53 |   22.53 |      0           |           0 |              0 |
|   22.44 |   22.44 |   22.44 |   22.44 |      0           |           0 |              0 |
|   22.7  |   22.7  |   22.7  |   22.7  |      0           |           0 |              0 |
|   22.98 |   22.98 |   22.98 |   22.98 |      0           |           0 |              0 |
|   23.07 |   23.07 |   23.07 |   23.07 |      0           |           0 |              0 |
|   23.33 |   23.33 |   23.33 |   23.33 |      0           |           0 |              0 |
|   23.54 |   23.54 |   23.54 |   23.54 |      0           |           0 |              0 |
|   23.44 |   23.44 |   23.44 |   23.44 |      0           |           0 |              0 |
|   23.64 |   23.64 |   23.64 |   23.64 |      0           |           0 |              0 |
|   23.98 |   23.98 |   23.98 |   23.98 |      0           |           0 |              0 |
|   24.35 |   24.35 |   24.35 |   24.35 |      0           |           0 |              0 |
|   24.81 |   24.81 |   24.81 |   24.81 |      0           |           0 |              0 |
|   24.86 |   24.86 |   24.86 |   24.86 |      0           |           0 |              0 |
|   24.85 |   24.85 |   24.85 |   24.85 |      0           |           0 |              0 |
|   24.25 |   24.25 |   24.25 |   24.25 |      0           |           0 |              0 |
|   24.17 |   24.17 |   24.17 |   24.17 |      0           |           0 |              0 |
|   24.54 |   24.54 |   24.54 |   24.54 |      0           |           0 |              0 |
|   24.58 |   24.58 |   24.58 |   24.58 |      0           |           0 |              0 |
|   24.54 |   24.54 |   24.54 |   24.54 |      0           |           0 |              0 |
|   24.59 |   24.59 |   24.59 |   24.59 |      0           |           0 |              0 |
|   24.23 |   24.23 |   24.23 |   24.23 |      0           |           0 |              0 |
|   24.56 |   24.56 |   24.56 |   24.56 |      0           |           0 |              0 |
|   24.69 |   24.69 |   24.69 |   24.69 |      0           |           0 |              0 |
|   24.77 |   24.77 |   24.77 |   24.77 |      0           |           0 |              0 |
|   24.86 |   24.86 |   24.86 |   24.86 |      0           |           0 |              0 |
|   25.07 |   25.07 |   25.07 |   25.07 |      0           |           0 |              0 |
|   25.22 |   25.22 |   25.22 |   25.22 |      0           |           0 |              0 |
|   25.06 |   25.06 |   25.06 |   25.06 |      0           |           0 |              0 |
|   25.48 |   25.48 |   25.48 |   25.48 |      0           |           0 |              0 |
|   25.35 |   25.35 |   25.35 |   25.35 |      0           |           0 |              0 |
|   25.36 |   25.36 |   25.36 |   25.36 |      0           |           0 |              0 |
