+---------------------+---------+---------+---------+---------+----------------+----------+---------------+
|                     |    Open |    High |     Low |   Close |   Daily_Change |   Target |   Predictions |
| 2015-09-23 00:00:00 | 1943.24 | 1949.52 | 1932.57 | 1938.76 |   -0.00230542  |        0 |             1 |
| 2015-09-22 00:00:00 | 1961.39 | 1961.39 | 1929.22 | 1942.74 |   -0.00950858  |        0 |             1 |
| 2015-09-21 00:00:00 | 1960.84 | 1979.64 | 1955.8  | 1966.97 |    0.00312621  |        0 |             1 |
| 2015-09-18 00:00:00 | 1989.66 | 1989.66 | 1953.45 | 1958.03 |   -0.0158972   |        1 |             1 |
| 2015-09-17 00:00:00 | 1995.33 | 2020.86 | 1986.73 | 1990.2  |   -0.00257101  |        0 |             1 |
| 2015-09-16 00:00:00 | 1978.02 | 1997.26 | 1977.93 | 1995.31 |    0.00874108  |        0 |             1 |
| 2015-09-15 00:00:00 | 1955.1  | 1983.19 | 1954.3  | 1978.09 |    0.011759    |        1 |             1 |
| 2015-09-14 00:00:00 | 1963.06 | 1963.06 | 1948.27 | 1953.03 |   -0.00510938  |        1 |             1 |
| 2015-09-11 00:00:00 | 1951.45 | 1961.05 | 1939.19 | 1961.05 |    0.00491947  |        0 |             1 |
| 2015-09-10 00:00:00 | 1941.59 | 1965.29 | 1937.19 | 1952.29 |    0.00551099  |        1 |             1 |
| 2015-09-09 00:00:00 | 1971.45 | 1988.63 | 1937.88 | 1942.04 |   -0.0149179   |        1 |             1 |
| 2015-09-08 00:00:00 | 1927.3  | 1970.42 | 1927.3  | 1969.41 |    0.0218492   |        0 |             1 |
| 2015-09-04 00:00:00 | 1947.76 | 1947.76 | 1911.21 | 1921.22 |   -0.0136259   |        1 |             1 |
| 2015-09-03 00:00:00 | 1950.79 | 1975.01 | 1944.72 | 1951.13 |    0.000174271 |        0 |             1 |
| 2015-09-02 00:00:00 | 1916.52 | 1948.91 | 1916.52 | 1948.86 |    0.0168743   |        1 |             1 |
